pH	SpConduct	DissOxy	RoadsPct	IndPct	UrbanPct	DevPct	WellClass	Aquifier	Depth	SafeYld	Distance	MTBE-Detect	MTBE	HouseDen	PopDen
8.66	425.70	1.00	2.90	0.00	41.36	41.36	Private	Bedrock	*	*	1891.51	Below Limit	0.20	51.70	19.19
7.87	528.50	2.21	3.56	0.00	81.13	96.04	Private	Bedrock	76.200	*	1714.40	Detect	0.97	269.57	88.06
7.13	542.60	2.73	0.92	0.00	14.69	19.32	Private	Bedrock	60.960	*	1980.28	Below Limit	0.20	168.77	71.34
8.08	574.80	0.72	2.58	2.46	33.48	37.27	Private	Bedrock	*	*	495.66	Below Limit	0.20	234.92	113.41
8.07	344.20	0.55	3.65	0.00	70.84	71.97	Private	Bedrock	48.768	*	1067.79	Detect	1.71	392.65	127.03
6.56	199.10	2.06	4.73	2.25	93.42	93.42	Private	Bedrock	*	*	1312.44	Below Limit	0.20	1025.48	384.56
7.73	386.10	2.29	0.62	0.00	8.81	14.04	Private	Bedrock	92.354	*	3649.14	Below Limit	0.20	66.29	21.64
7.89	1807.00	0.44	2.17	2.26	38.95	51.00	Private	Bedrock	110.033	*	1632.66	Below Limit	0.20	22.61	8.41
8.52	162.00	0.24	1.07	0.00	17.20	31.89	Private	Bedrock	98.450	*	2378.30	Below Limit	0.20	66.29	21.64
6.70	402.80	4.00	1.30	0.00	24.52	24.52	Private	Bedrock	*	*	1582.48	Below Limit	0.20	437.77	116.43
7.29	577.10	2.46	1.09	0.00	20.00	20.00	Private	Bedrock	*	*	1590.87	Below Limit	0.20	71.58	20.21
6.67	615.30	2.38	4.18	0.00	68.59	68.59	Private	Bedrock	*	*	2552.87	Detect	0.26	405.37	127.06
9.19	203.00	2.67	0.49	0.00	3.75	3.75	Private	Bedrock	182.880	*	2685.30	Detect	2.67	45.67	15.44
6.77	191.00	0.68	1.85	0.00	10.92	10.92	Private	Bedrock	*	*	4671.88	Below Limit	0.20	36.95	17.24
8.10	165.00	0.42	3.08	0.00	63.59	66.62	Private	Bedrock	*	*	2277.12	Below Limit	0.20	204.43	63.70
7.97	225.00	0.33	2.26	4.41	40.29	55.52	Private	Bedrock	153.924	*	1584.78	Below Limit	0.20	120.10	51.99
8.21	153.90	1.83	2.09	0.24	47.55	65.61	Private	Bedrock	68.580	*	2154.46	Below Limit	0.20	204.43	63.70
8.32	240.80	0.93	1.87	0.00	35.02	35.02	Private	Bedrock	137.160	*	3438.30	Below Limit	0.20	245.17	75.50
8.30	277.40	0.50	2.02	5.87	17.98	29.35	Private	Bedrock	*	*	1542.17	Below Limit	0.20	83.45	31.29
9.48	409.70	0.25	3.30	1.16	23.92	30.79	Private	Bedrock	121.920	*	296.95	Detect	0.33	39.56	32.62
7.19	419.60	2.14	1.76	0.00	34.12	34.12	Private	Bedrock	76.200	*	1348.52	Below Limit	0.20	96.41	29.29
7.06	138.70	4.88	0.88	0.00	8.51	11.14	Private	Bedrock	54.864	*	582.10	Below Limit	0.20	48.72	18.56
5.58	865.20	2.86	1.97	0.56	17.49	25.99	Private	Bedrock	47.244	*	384.69	Below Limit	0.20	23.52	7.13
8.33	201.50	0.18	3.10	0.00	36.42	36.42	Private	Bedrock	153.924	*	898.79	Below Limit	0.20	274.72	82.64
7.24	693.00	0.39	1.93	0.00	27.48	27.48	Private	Bedrock	115.824	*	2167.92	Detect	0.24	169.69	56.16
8.36	272.10	0.31	2.68	2.66	40.91	45.08	Private	Bedrock	159.410	*	200.47	Below Limit	0.20	290.94	100.82
8.34	178.00	1.69	2.58	0.00	48.91	48.91	Private	Bedrock	254.508	*	2806.03	Below Limit	0.20	215.46	70.79
7.97	231.90	0.80	2.08	0.00	33.77	34.54	Private	Bedrock	*	*	2530.60	Below Limit	0.20	428.05	115.74
7.70	341.10	1.02	2.65	0.00	45.31	45.31	Private	Bedrock	111.252	*	4902.19	Detect	0.93	298.13	91.09
5.62	883.70	3.13	3.07	1.92	44.01	50.34	Private	Bedrock	*	*	1319.92	Detect	0.34	335.00	100.24
6.66	1472.00	3.61	2.95	5.10	42.34	49.68	Private	Bedrock	67.056	*	972.24	Detect	0.37	335.00	100.24
5.94	216.90	7.86	2.20	0.00	24.64	25.42	Private	Bedrock	36.271	*	1129.44	Below Limit	0.20	169.54	73.32
8.02	164.10	5.78	0.14	0.00	4.63	4.63	Private	Bedrock	114.300	*	1519.17	Below Limit	0.20	51.08	17.77
7.37	338.60	5.25	1.70	0.00	21.59	57.54	Private	Bedrock	30.480	*	2527.29	Below Limit	0.20	70.13	36.36
5.83	454.50	5.98	1.62	0.00	7.83	19.92	Private	Bedrock	91.440	*	3249.34	Below Limit	0.20	32.37	22.37
7.12	180.80	4.59	1.76	0.00	28.22	28.22	Private	Bedrock	174.955	*	1849.10	Below Limit	0.20	39.92	12.22
6.65	362.60	3.88	1.52	0.00	20.92	21.22	Private	Bedrock	*	*	1214.51	Below Limit	0.20	439.55	109.89
6.26	1130.00	6.99	4.20	1.37	47.01	47.01	Private	Bedrock	103.632	*	1579.30	Below Limit	0.20	431.12	130.34
6.42	622.30	6.98	0.76	0.00	11.45	16.78	Private	Bedrock	53.340	*	4467.88	Below Limit	0.20	34.01	11.51
6.06	886.60	1.00	2.64	0.00	11.19	11.19	Private	Bedrock	92.659	*	1728.00	Below Limit	0.20	97.78	37.61
6.43	466.20	2.18	2.43	0.00	44.33	44.33	Private	Bedrock	91.440	*	2757.15	Below Limit	0.20	273.40	83.50
7.45	265.70	4.85	3.79	0.00	58.72	58.72	Private	Bedrock	245.364	*	951.09	Below Limit	0.20	54.85	19.51
8.16	161.90	0.40	2.98	0.00	39.37	39.37	Private	Bedrock	*	*	1351.95	Below Limit	0.20	54.85	19.51
7.31	227.30	1.56	2.40	0.00	42.33	42.34	Private	Bedrock	*	*	1266.05	Below Limit	0.20	43.58	16.34
7.59	11.36	1.02	1.28	0.00	22.78	28.49	Private	Bedrock	91.440	*	2624.08	Below Limit	0.20	108.81	40.99
7.51	410.30	0.49	2.14	0.00	35.02	35.02	Private	Bedrock	*	*	1441.05	Detect	1.16	166.13	52.08
7.13	536.60	0.40	4.80	2.15	56.99	56.99	Private	Bedrock	91.440	*	2407.70	Detect	1.60	215.44	77.05
8.09	465.10	0.43	4.90	2.91	36.32	54.99	Private	Bedrock	121.920	*	747.75	Below Limit	0.20	138.12	58.57
8.33	1231.00	0.44	0.97	1.10	12.70	50.78	Private	Bedrock	121.920	*	1179.23	Below Limit	0.20	84.25	30.76
7.40	220.60	1.36	2.26	4.90	40.16	52.01	Private	Bedrock	73.152	*	754.58	Below Limit	0.20	203.29	83.16
5.66	473.20	4.98	1.00	0.00	15.28	15.57	Private	Bedrock	51.816	*	2694.44	Below Limit	0.20	138.05	43.92
8.36	277.90	0.27	3.24	0.00	34.11	36.18	Private	Bedrock	36.576	*	3322.18	Detect	0.33	590.00	162.25
7.64	201.00	4.44	0.80	1.00	7.88	7.88	Private	Bedrock	152.400	*	2224.19	Below Limit	0.20	20.79	6.80
8.39	236.70	0.56	0.86	0.00	24.00	38.13	Private	Bedrock	128.321	*	2682.48	Below Limit	0.20	43.85	15.58
5.91	387.80	6.72	4.56	0.00	44.22	44.22	Private	Bedrock	38.100	*	2944.24	Detect	3.86	741.85	209.24
8.26	204.60	2.70	1.93	0.00	31.34	35.00	Private	Bedrock	243.840	*	1522.78	Detect	0.31	57.86	19.02
6.18	190.30	4.17	0.85	0.00	12.40	25.56	Private	Bedrock	159.410	*	5180.58	Below Limit	0.20	3.09	1.33
6.72	280.40	0.78	0.81	0.00	7.63	7.63	Private	Bedrock	85.344	*	3458.03	Below Limit	0.20	20.12	7.04
8.22	175.90	1.32	0.48	0.00	5.59	5.59	Private	Bedrock	128.930	*	2762.89	Below Limit	0.20	20.12	7.04
7.97	331.70	0.44	0.00	0.00	0.00	0.00	Private	Bedrock	*	*	365.90	Below Limit	0.20	*	*
6.59	265.10	6.29	2.58	0.59	23.43	23.43	Private	Bedrock	18.898	*	784.06	Below Limit	0.20	42.10	14.52
8.24	694.30	3.27	3.50	0.00	49.35	49.35	Private	Bedrock	91.440	*	1711.46	Detect	0.39	174.77	85.67
7.15	545.70	0.11	1.00	0.00	16.09	19.34	Private	Bedrock	*	*	3181.14	Detect	0.48	30.89	10.59
7.43	165.10	1.68	2.26	0.00	27.31	31.68	Private	Bedrock	79.248	*	3094.32	Below Limit	0.20	40.94	13.82
7.87	199.20	0.24	1.99	3.56	33.22	33.22	Private	Bedrock	45.720	*	687.07	Below Limit	0.20	417.65	159.69
8.11	227.90	0.23	0.76	0.00	15.18	15.18	Private	Bedrock	45.720	*	1082.94	Below Limit	0.20	8.17	4.22
8.22	135.40	0.44	1.86	0.00	43.71	43.71	Private	Bedrock	88.392	*	1832.50	Below Limit	0.20	206.68	77.74
7.61	608.10	0.61	2.05	0.00	38.58	38.58	Private	Bedrock	121.920	*	2685.91	Below Limit	0.20	62.87	29.94
6.68	93.50	4.39	1.83	0.00	20.73	21.68	Private	Bedrock	30.480	*	2772.19	Below Limit	0.20	233.80	66.80
7.52	265.20	0.46	3.14	0.00	31.15	31.15	Private	Bedrock	47.244	*	831.10	Below Limit	0.20	113.98	48.50
7.43	663.20	0.56	2.26	0.00	27.42	27.42	Public	Unconsoli	15.240	1514.00	1142.56	Detect	0.25	17.71	7.38
7.76	919.30	6.63	10.62	22.41	72.02	72.71	Public	Unconsoli	15.240	1324.75	274.61	Below Limit	0.20	132.22	46.20
7.01	409.90	5.94	1.58	0.84	20.88	20.88	Public	Unconsoli	19.202	1052.23	775.40	Below Limit	0.20	92.24	33.89
6.55	248.60	7.07	2.09	1.34	40.59	49.97	Public	Unconsoli	15.240	946.25	685.17	Below Limit	0.20	375.34	114.84
7.91	223.00	10.60	4.10	6.54	43.08	43.08	Public	Unconsoli	14.630	946.25	3192.79	Below Limit	0.20	77.01	34.23
7.51	428.50	7.94	1.95	0.00	35.42	51.90	Public	Unconsoli	24.994	946.25	2440.35	Detect	1.06	146.11	52.56
7.70	558.10	1.43	1.92	0.00	8.24	22.54	Public	Unconsoli	18.288	757.00	2573.78	Below Limit	0.20	63.76	20.50
6.10	188.20	0.74	0.70	3.52	5.40	14.01	Public	Unconsoli	*	757.00	804.76	Below Limit	0.20	53.03	22.27
6.57	460.40	1.26	0.54	0.00	6.84	67.80	Public	Unconsoli	15.240	567.75	3009.59	Below Limit	0.20	24.47	7.71
7.64	483.00	0.35	5.40	0.00	56.33	56.33	Public	Bedrock	48.768	492.05	1059.41	Detect	0.35	698.30	255.29
7.58	399.70	1.74	2.73	18.35	40.83	40.83	Public	Bedrock	99.060	473.13	130.48	Detect	3.10	150.51	56.71
7.87	225.10	5.22	1.42	0.00	18.63	18.63	Public	Bedrock	42.672	378.50	3627.21	Below Limit	0.20	54.74	17.42
8.09	248.50	0.37	3.04	11.80	52.54	56.80	Public	Bedrock	106.680	378.50	1090.68	Below Limit	0.20	85.07	27.31
7.90	516.60	0.40	3.42	1.91	66.43	71.67	Public	Bedrock	68.580	325.51	1478.05	Below Limit	0.20	278.95	84.24
6.40	527.80	2.14	2.41	0.00	29.03	31.36	Public	Bedrock	42.672	264.95	1945.64	Detect	0.39	221.41	92.23
8.05	199.90	0.42	0.00	0.00	0.52	0.52	Public	Bedrock	80.772	246.03	1049.97	Below Limit	0.20	37.92	13.97
7.66	293.70	0.79	3.55	3.20	36.81	36.81	Public	Bedrock	91.440	227.10	1346.78	Below Limit	0.20	479.30	282.69
8.08	387.80	0.71	2.86	4.21	62.71	62.71	Public	Bedrock	155.448	227.10	1379.81	Below Limit	0.20	913.53	393.52
7.28	294.00	3.33	2.59	1.67	45.22	45.64	Public	Bedrock	60.960	227.10	891.93	Detect	0.36	352.28	115.77
6.31	165.70	3.07	3.73	0.00	58.83	60.84	Public	Unconsoli	13.411	189.25	1941.97	Below Limit	0.20	554.57	163.11
7.22	1178.00	0.39	4.57	3.11	42.90	42.92	Public	Bedrock	286.817	189.25	996.74	Detect	1.01	199.29	68.72
7.98	240.70	0.34	0.00	0.00	0.52	0.99	Public	Bedrock	68.580	170.33	953.12	Below Limit	0.20	37.92	13.97
8.39	413.50	0.48	2.97	2.20	32.56	32.56	Public	Bedrock	81.686	158.97	610.90	Detect	0.33	500.28	200.11
7.84	439.10	5.07	3.11	0.00	64.88	66.40	Public	Bedrock	100.584	151.40	1007.11	Detect	1.48	553.21	146.58
6.28	360.30	2.98	2.33	0.00	27.50	29.67	Public	Bedrock	77.724	151.40	1978.78	Detect	0.35	221.41	92.23
6.94	428.20	0.36	3.62	3.09	41.16	50.71	Public	Bedrock	121.920	143.83	335.22	Below Limit	0.20	221.41	92.23
7.47	871.50	0.39	4.62	3.07	43.55	43.55	Public	Bedrock	225.552	140.05	1006.58	Detect	0.83	199.29	68.72
6.49	287.50	4.77	3.57	14.14	44.61	50.17	Public	Bedrock	53.340	132.48	264.93	Detect	0.23	99.79	47.59
6.05	78.60	6.93	3.57	0.68	52.62	60.20	Public	Unconsoli	10.668	132.48	1664.94	Below Limit	0.20	367.48	146.05
6.41	444.20	2.52	3.97	0.85	62.02	62.02	Public	Bedrock	54.864	132.48	1516.36	Below Limit	0.20	156.85	49.18
8.73	541.30	7.81	5.16	17.11	34.17	41.15	Public	Bedrock	182.880	121.12	111.42	Detect	0.49	164.30	0.00
7.22	286.50	0.60	3.28	0.00	40.78	40.78	Public	Bedrock	45.720	113.55	367.52	Below Limit	0.20	117.22	0.00
7.08	1034.00	6.89	4.22	0.00	66.89	70.52	Public	Bedrock	79.248	113.55	1245.90	Below Limit	0.20	1225.49	318.63
7.14	1068.00	1.23	4.62	0.00	70.67	74.30	Public	Bedrock	79.248	113.55	1244.09	Below Limit	0.20	1225.49	318.63
7.45	359.50	1.53	1.36	0.00	20.66	26.70	Public	Bedrock	42.672	113.55	2487.94	Below Limit	0.20	269.24	82.93
7.47	359.20	1.53	1.37	0.00	20.65	26.86	Public	Bedrock	42.672	113.55	2487.54	Below Limit	0.20	269.24	82.93
7.86	493.90	0.47	4.53	8.92	58.56	66.52	Public	Bedrock	45.720	113.55	738.61	Detect	4.02	699.43	310.98
8.04	306.10	0.28	3.10	0.00	48.42	51.40	Public	Bedrock	109.728	113.55	1729.81	Below Limit	0.20	129.42	56.62
7.64	103.70	6.82	1.80	0.00	37.22	62.56	Public	Bedrock	45.720	113.55	3632.06	Below Limit	0.20	143.84	41.95
6.12	395.10	3.22	4.39	0.00	61.97	66.88	Public	Bedrock	182.880	113.55	2193.56	Detect	2.97	336.82	129.05
8.56	623.10	0.41	1.88	23.77	30.32	57.13	Public	Bedrock	57.912	113.55	406.54	Below Limit	0.20	164.56	56.04
7.61	497.70	7.84	1.15	0.16	19.25	21.50	Public	Bedrock	54.864	109.77	786.84	Below Limit	0.20	176.17	60.91
7.44	144.00	0.39	2.95	0.00	40.82	43.10	Public	Bedrock	200.558	105.98	405.78	Detect	1.29	314.98	224.98
7.57	1235.00	1.14	4.11	0.00	69.45	69.45	Public	Bedrock	91.440	102.20	1075.11	Detect	2.06	712.04	265.10
5.28	671.20	4.72	1.30	7.44	18.61	18.61	Public	Bedrock	42.672	98.41	56.25	Detect	2.92	672.16	339.54
5.34	625.90	4.45	1.30	7.44	18.61	18.61	Public	Bedrock	73.152	98.41	51.53	Detect	2.23	672.16	339.54
6.50	287.90	4.18	3.12	0.00	47.57	48.39	Public	Bedrock	121.920	94.63	549.75	Detect	1.50	247.23	0.00
7.66	114.10	2.74	4.70	0.00	35.84	35.95	Public	Bedrock	97.536	94.63	2861.51	Below Limit	0.20	86.00	26.41
8.10	200.20	0.72	1.60	0.21	22.95	22.95	Public	Bedrock	97.536	94.63	574.59	Detect	0.26	103.03	58.23
7.00	392.30	0.42	3.71	3.09	41.40	50.07	Public	Bedrock	153.924	94.63	330.46	Below Limit	0.20	221.41	92.23
7.97	304.80	0.48	3.14	8.87	26.68	26.68	Public	Bedrock	182.880	94.63	391.18	Detect	6.43	141.84	68.93
7.96	318.50	0.36	3.15	8.81	26.61	26.61	Public	Bedrock	182.880	94.63	386.26	Detect	3.57	141.84	68.93
7.82	203.50	0.51	5.35	13.02	62.17	70.43	Public	Bedrock	152.400	94.63	470.44	Below Limit	0.20	240.15	87.65
8.06	273.10	0.40	1.25	0.00	22.61	25.19	Public	Bedrock	42.672	90.84	2493.96	Below Limit	0.20	83.66	24.52
6.33	420.90	3.32	1.48	4.86	23.02	32.98	Public	Bedrock	48.768	83.27	597.65	Below Limit	0.20	51.50	18.27
8.38	562.70	0.55	2.00	0.00	30.74	36.45	Public	Bedrock	48.768	83.27	2270.32	Below Limit	0.20	158.45	72.98
5.77	37.30	8.31	4.44	0.00	21.47	21.82	Public	Unconsoli	5.791	75.70	2181.65	Below Limit	0.20	65.12	417.66
6.15	291.40	8.14	3.16	10.80	41.78	52.06	Public	Unconsoli	7.925	75.70	929.21	Below Limit	0.20	93.88	30.29
6.53	221.80	0.39	1.28	0.00	10.14	23.11	Public	Bedrock	48.768	75.70	1084.34	Below Limit	0.20	152.11	45.63
8.22	584.70	4.50	2.26	0.00	25.59	39.68	Public	Bedrock	152.400	68.13	2832.47	Below Limit	0.20	202.03	114.41
7.75	408.80	7.52	2.14	0.00	23.41	32.28	Public	Bedrock	89.916	64.35	4147.82	Detect	4.16	178.29	52.88
5.59	906.70	3.61	1.73	4.84	14.95	14.95	Public	Bedrock	76.200	56.78	265.08	Detect	0.26	142.96	68.64
8.02	399.30	0.35	1.97	0.00	22.40	30.36	Public	Bedrock	214.884	56.78	1098.26	Below Limit	0.20	89.76	30.77
8.04	238.40	0.46	1.60	0.00	22.36	23.99	Public	Bedrock	140.208	56.78	553.67	Below Limit	0.20	31.78	13.84
7.41	570.00	1.76	1.66	13.75	32.83	32.83	Public	Bedrock	146.304	56.78	911.75	Below Limit	0.20	79.56	28.78
6.65	405.50	0.53	4.41	0.00	62.01	66.96	Public	Bedrock	134.112	56.78	2197.44	Detect	2.21	336.82	129.05
7.87	304.20	1.57	0.07	0.00	4.54	4.54	Public	Bedrock	129.540	56.78	1150.91	Below Limit	0.20	102.33	35.70
6.53	304.80	6.33	0.06	0.00	0.06	0.06	Public	Bedrock	99.060	45.42	3632.12	Detect	0.27	25.85	9.90
7.32	209.50	3.51	0.00	0.00	0.00	0.00	Public	Bedrock	152.400	41.64	2315.74	Detect	3.33	127.54	*
6.30	2176.00	0.41	3.13	0.00	37.07	37.07	Public	Bedrock	60.960	37.85	162.03	Detect	0.39	800.10	373.38
7.81	189.50	8.26	0.71	0.00	8.24	19.35	Public	Bedrock	79.248	37.85	1842.73	Below Limit	0.20	18.76	7.25
7.70	441.00	1.84	1.42	0.00	26.59	31.87	Public	Bedrock	91.440	37.85	3084.46	Detect	0.72	160.71	79.86
7.49	873.50	0.45	2.62	0.00	59.66	61.18	Public	Bedrock	77.114	37.85	1114.43	Below Limit	0.20	553.21	146.58
7.59	390.40	2.25	4.23	17.46	41.13	53.45	Public	Bedrock	112.776	37.85	782.47	Detect	2.70	134.04	57.45
6.95	532.60	0.41	3.75	0.00	54.85	54.85	Public	Bedrock	61.570	37.85	626.39	Below Limit	0.20	370.43	166.26
6.58	577.20	3.19	1.45	11.47	17.08	17.99	Public	Bedrock	76.200	37.85	1193.43	Below Limit	0.20	63.03	21.01
6.91	293.90	0.44	2.88	8.11	27.61	27.61	Public	Bedrock	152.400	34.07	888.77	Detect	0.30	1059.28	437.53
8.17	301.70	1.10	1.57	0.00	26.54	29.36	Public	Bedrock	152.400	34.07	2909.45	Detect	2.14	160.71	79.86
8.96	213.30	0.10	3.22	12.44	22.99	30.56	Public	Bedrock	134.112	34.07	2957.61	Below Limit	0.20	34.97	11.77
7.78	352.30	4.79	3.17	8.42	25.58	25.58	Public	Bedrock	182.880	32.17	333.35	Detect	2.61	141.84	68.93
7.24	101.30	4.30	2.45	1.96	26.79	31.79	Public	Bedrock	90.526	30.28	604.23	Below Limit	0.20	99.79	47.59
7.70	577.40	0.50	1.42	12.91	17.05	36.81	Public	Bedrock	188.976	30.28	599.11	Below Limit	0.20	240.41	67.02
7.27	256.20	7.54	2.19	0.00	25.10	25.10	Public	Bedrock	160.020	30.28	1451.97	Detect	46.20	155.08	74.17
8.81	241.40	0.36	4.72	0.00	50.40	55.44	Public	Bedrock	70.104	26.50	1272.95	Below Limit	0.20	471.21	178.30
8.05	399.20	0.35	4.94	36.42	70.03	70.03	Public	Bedrock	76.200	26.50	254.57	Detect	48.10	467.61	160.59
7.66	1019.00	0.43	2.44	7.22	60.58	62.01	Public	Bedrock	80.162	26.50	916.83	Detect	0.96	332.67	163.41
7.30	426.70	0.59	4.99	9.20	29.02	35.93	Public	Bedrock	121.920	24.60	141.77	Below Limit	0.20	65.12	0.00
8.12	234.80	0.53	1.20	0.00	18.59	29.22	Public	Bedrock	91.440	22.71	716.44	Below Limit	0.20	31.78	13.84
7.40	418.30	7.33	2.26	0.00	23.68	32.55	Public	Bedrock	132.588	22.71	4156.63	Detect	4.34	178.29	52.88
8.21	238.60	0.43	1.34	0.00	21.47	27.16	Public	Bedrock	60.350	18.93	723.89	Below Limit	0.20	132.18	44.43
8.12	161.20	0.49	1.77	11.35	32.64	32.64	Public	Bedrock	152.400	18.93	270.91	Below Limit	0.20	39.59	14.79
7.53	447.60	0.32	2.72	18.79	40.13	40.13	Public	Bedrock	121.920	18.93	65.93	Detect	15.61	150.51	56.71
7.45	1192.00	0.17	4.33	21.36	35.89	51.75	Public	Bedrock	152.400	18.93	142.26	Detect	32.80	74.74	26.03
8.31	208.50	0.59	3.80	0.00	52.14	55.38	Public	Bedrock	91.440	11.36	1703.94	Below Limit	0.20	706.51	297.05
6.40	152.20	2.73	3.28	10.96	32.76	32.76	Public	Bedrock	38.100	11.36	539.56	Below Limit	0.20	58.38	18.36
7.34	522.70	0.53	3.99	15.26	60.10	60.10	Public	Bedrock	310.896	7.57	1292.41	Detect	10.60	479.30	282.69
7.28	308.20	3.25	2.85	0.00	45.70	56.57	Public	Bedrock	68.580	7.57	3066.18	Below Limit	0.20	306.26	103.73
7.86	301.20	0.37	1.37	0.00	22.42	48.69	Public	Bedrock	44.806		1812.88	Below Limit	0.20	67.02	25.37
7.37	182.50	0.63	0.59	0.00	9.46	9.46	Public	Bedrock	47.854		4651.51	Below Limit	0.20	3.09	1.33
7.39	245.40	1.00	0.00	0.00	5.33	5.33	Public	Bedrock	46.025		5239.42	Below Limit	0.20	3.09	1.33
8.15	194.10	1.30	1.63	0.00	35.57	50.02	Public	Bedrock	*		1694.76	Below Limit	0.20	71.87	23.50
7.35	531.40	5.70	1.35	0.00	13.51	31.60	Public	Unconsoli	15.240		2935.85	Detect	0.72	63.76	20.50
8.07	272.30	0.50	1.64	0.00	13.53	66.28	Public	Bedrock	43.891		1963.71	Below Limit	0.20	12.98	6.49
7.62	579.60	2.57	2.50	0.00	25.85	32.34	Public	Bedrock	45.720		1307.40	Detect	0.37	136.41	0.00
6.02	391.90	6.07	3.28	9.97	48.41	55.81	Public	Unconsoli	13.716		1079.90	Below Limit	0.20	93.88	30.29
7.60	291.80	2.09	1.82	0.00	21.75	27.26	Public	Bedrock	*		531.89	Below Limit	0.20	17.45	0.00
8.32	547.10	0.35	1.35	0.00	16.03	16.03	Public	Bedrock	61.874		3909.57	Below Limit	0.20	61.54	20.78
